Fixed Overall Qtr Count ,Fraud,Quarter,Report Type,State Name,Year,Fixed State Type,Overall # of Reports by Type QTR,State Fraud/Other Count
263547,Other,1,Other,Rhode Island,2020,542,263547,542
380279,Fraud,2,Fraud,Pennsylvania,2018,10419,380279,10419
360718,Other,4,Other,Indiana,2020,4989,360718,4989
529166,Fraud,3,Fraud,Tennessee,2019,9025,529166,9025
322678,Other,2,Other,Louisiana,2018,3746,322678,3746
328392,Other,1,Other,District of Columbia,2022,1145,328392,1145
322678,Other,2,Other,South Carolina,2018,5077,322678,5077
729718,Fraud,2,Fraud,Florida,2021,42287,729718,42287
253567,Other,2,Other,Utah,2019,1678,253567,1678
263547,Other,1,Other,New Mexico,2020,1108,263547,1108
624173,Fraud,4,Fraud,Oregon,2020,7626,624173,7626
573651,Fraud,4,Fraud,Maine,2021,1527,573651,1527
336713,Other,3,Other,California,2020,33658,336713,33658
253567,Other,2,Other,Ohio,2019,8073,253567,8073
535536,Fraud,2,Fraud,Washington,2019,11884,535536,11884
435820,Fraud,1,Fraud,Alabama,2020,4591,435820,4591
648197,Fraud,3,Fraud,Oregon,2020,7435,648197,7435
648197,Fraud,3,Fraud,Louisiana,2020,6003,648197,6003
253567,Other,2,Other,New Jersey,2019,6018,253567,6018
600629,Fraud,2,Fraud,Massachusetts,2020,9066,600629,9066
413575,Fraud,1,Fraud,Washington,2019,7982,413575,7982
236641,Other,4,Other,New Hampshire,2019,645,236641,645
383241,Fraud,4,Fraud,New York,2018,17952,383241,17952
415398,Other,3,Other,Michigan,2021,8403,415398,8403
413841,Other,1,Other,New Mexico,2021,1398,413841,1398
529166,Fraud,3,Fraud,New Mexico,2019,2729,529166,2729
336868,Other,4,Other,Massachusetts,2021,4813,336868,4813
415398,Other,3,Other,Vermont,2021,304,415398,304
648197,Fraud,3,Fraud,New Hampshire,2020,2027,648197,2027
328392,Other,1,Other,Wisconsin,2022,3119,328392,3119
263547,Other,1,Other,Massachusetts,2020,3824,263547,3824
336868,Other,4,Other,Ohio,2021,10201,336868,10201
328392,Other,1,Other,Arizona,2022,5590,328392,5590
729718,Fraud,2,Fraud,Wisconsin,2021,8826,729718,8826
535536,Fraud,2,Fraud,Hawaii,2019,1600,535536,1600
250155,Other,4,Other,Louisiana,2018,3040,250155,3040
600629,Fraud,2,Fraud,Idaho,2020,2179,600629,2179
406911,Other,2,Other,West Virginia,2021,1102,406911,1102
406911,Other,2,Other,Pennsylvania,2021,17466,406911,17466
600629,Fraud,2,Fraud,Florida,2020,37417,600629,37417
236641,Other,4,Other,Illinois,2019,7754,236641,7754
435820,Fraud,1,Fraud,Ohio,2020,12154,435820,12154
360718,Other,4,Other,South Carolina,2020,5752,360718,5752
322678,Other,2,Other,Rhode Island,2018,850,322678,850
415398,Other,3,Other,Oregon,2021,2647,415398,2647
360304,Fraud,1,Fraud,Louisiana,2018,2992,360304,2992
320281,Other,1,Other,Kansas,2018,1579,320281,1579
383241,Fraud,4,Fraud,Michigan,2018,8480,383241,8480
336713,Other,3,Other,New Hampshire,2020,807,336713,807
328392,Other,1,Other,Nevada,2022,3907,328392,3907
573651,Fraud,4,Fraud,Nevada,2021,5121,573651,5121
435820,Fraud,1,Fraud,Minnesota,2020,5886,435820,5886
250155,Other,4,Other,Ohio,2018,8139,250155,8139
413575,Fraud,1,Fraud,Kentucky,2019,4060,413575,4060
380279,Fraud,2,Fraud,Idaho,2018,1681,380279,1681
263547,Other,1,Other,New Mexico,2020,1108,263547,1108
413575,Fraud,1,Fraud,Hawaii,2019,1133,413575,1133
380279,Fraud,2,Fraud,North Dakota,2018,474,380279,474
413841,Other,1,Other,California,2021,38432,413841,38432
413575,Fraud,1,Fraud,Virginia,2019,9112,413575,9112
383241,Fraud,4,Fraud,Virginia,2018,8352,383241,8352
413575,Fraud,1,Fraud,New Mexico,2019,1894,413575,1894
230049,Other,1,Other,Washington,2019,3548,230049,3548
535536,Fraud,2,Fraud,Idaho,2019,2082,535536,2082
383241,Fraud,4,Fraud,South Dakota,2018,592,383241,592
310369,Other,3,Other,Georgia,2018,15072,310369,15072
648197,Fraud,3,Fraud,Puerto Rico,2020,1191,648197,1191
0,IDT,1,Identity Theft,Pennsylvania,2022,0,0,0
413841,Other,1,Other,Massachusetts,2021,7255,413841,7255
415398,Other,3,Other,Michigan,2021,8403,415398,8403
413841,Other,1,Other,Hawaii,2021,851,413841,851
729718,Fraud,2,Fraud,New Mexico,2021,3717,729718,3717
336868,Other,4,Other,Michigan,2021,7378,336868,7378
729337,Fraud,3,Fraud,Maine,2021,1972,729337,1972
435820,Fraud,1,Fraud,Oklahoma,2020,3235,435820,3235
383241,Fraud,4,Fraud,West Virginia,2018,1805,383241,1805
383241,Fraud,4,Fraud,Iowa,2018,2405,383241,2405
624173,Fraud,4,Fraud,Connecticut,2020,5333,624173,5333
248549,Other,3,Other,California,2019,24517,248549,24517
403773,Fraud,4,Fraud,Wisconsin,2019,5517,403773,5517
648197,Fraud,3,Fraud,Connecticut,2020,5311,648197,5311
406911,Other,2,Other,Maine,2021,722,406911,722
831544,Fraud,1,Fraud,Maine,2021,2707,831544,2707
328392,Other,1,Other,Ohio,2022,8968,328392,8968
573651,Fraud,4,Fraud,Texas,2021,33359,573651,33359
383241,Fraud,4,Fraud,Arizona,2018,7621,383241,7621
831544,Fraud,1,Fraud,Illinois,2021,23809,831544,23809
263547,Other,1,Other,New Mexico,2020,1108,263547,1108
573651,Fraud,4,Fraud,Ohio,2021,13578,573651,13578
535536,Fraud,2,Fraud,New York,2019,26752,535536,26752
360718,Other,4,Other,Washington,2020,5693,360718,5693
0,IDT,4,Identity Theft,Mississippi,2018,0,0,0
336713,Other,3,Other,Arizona,2020,6656,336713,6656
831544,Fraud,1,Fraud,Oklahoma,2021,6960,831544,6960
535536,Fraud,2,Fraud,Louisiana,2019,4560,535536,4560
831544,Fraud,1,Fraud,North Dakota,2021,1034,831544,1034
336868,Other,4,Other,New Hampshire,2021,682,336868,682
336868,Other,4,Other,Oregon,2021,2265,336868,2265
415398,Other,3,Other,Florida,2021,37782,415398,37782
328392,Other,1,Other,Oklahoma,2022,2130,328392,2130
322678,Other,2,Other,North Dakota,2018,201,322678,201
403773,Fraud,4,Fraud,Missouri,2019,6062,403773,6062
831544,Fraud,1,Fraud,Virginia,2021,18755,831544,18755
383241,Fraud,4,Fraud,Vermont,2018,599,383241,599
831544,Fraud,1,Fraud,Mississippi,2021,4195,831544,4195
435820,Fraud,1,Fraud,South Carolina,2020,5372,435820,5372
230049,Other,1,Other,Hawaii,2019,595,230049,595
435820,Fraud,1,Fraud,Oklahoma,2020,3235,435820,3235
403773,Fraud,4,Fraud,Nevada,2019,3807,403773,3807
230049,Other,1,Other,Oklahoma,2019,1585,230049,1585
413575,Fraud,1,Fraud,Maine,2019,1154,413575,1154
250155,Other,4,Other,Minnesota,2018,2298,250155,2298
435820,Fraud,1,Fraud,Delaware,2020,1451,435820,1451
403773,Fraud,4,Fraud,Georgia,2019,10636,403773,10636
328392,Other,1,Other,Georgia,2022,18894,328392,18894
729337,Fraud,3,Fraud,North Dakota,2021,778,729337,778
831544,Fraud,1,Fraud,Montana,2021,2031,831544,2031
492886,Fraud,1,Fraud,Ohio,2022,12930,492886,12930
305963,Other,2,Other,Mississippi,2020,1956,305963,1956
624173,Fraud,4,Fraud,Massachusetts,2020,10104,624173,10104
648197,Fraud,3,Fraud,New York,2020,31395,648197,31395
529166,Fraud,3,Fraud,Texas,2019,33617,529166,33617
413841,Other,1,Other,Idaho,2021,1234,413841,1234
248549,Other,3,Other,New Jersey,2019,6431,248549,6431
399061,Fraud,3,Fraud,District of Columbia,2018,1059,399061,1059
535536,Fraud,2,Fraud,Louisiana,2019,4560,535536,4560
648197,Fraud,3,Fraud,Utah,2020,4693,648197,4693
236641,Other,4,Other,Nevada,2019,3142,236641,3142
413575,Fraud,1,Fraud,Florida,2019,24067,413575,24067
236641,Other,4,Other,New Jersey,2019,6085,236641,6085
360718,Other,4,Other,Hawaii,2020,833,360718,833
413575,Fraud,1,Fraud,Idaho,2019,1730,413575,1730
305963,Other,2,Other,Kansas,2020,1288,305963,1288
328392,Other,1,Other,New York,2022,18002,328392,18002
403773,Fraud,4,Fraud,South Dakota,2019,524,403773,524
248549,Other,3,Other,Mississippi,2019,1680,248549,1680
535536,Fraud,2,Fraud,Minnesota,2019,6708,535536,6708
435820,Fraud,1,Fraud,Mississippi,2020,2541,435820,2541
380279,Fraud,2,Fraud,Florida,2018,22166,380279,22166
403773,Fraud,4,Fraud,Vermont,2019,561,403773,561
648197,Fraud,3,Fraud,Arkansas,2020,3884,648197,3884
573651,Fraud,4,Fraud,West Virginia,2021,2075,573651,2075
310369,Other,3,Other,Georgia,2018,15072,310369,15072
328392,Other,1,Other,North Carolina,2022,10352,328392,10352
729718,Fraud,2,Fraud,Louisiana,2021,6139,729718,6139
413575,Fraud,1,Fraud,Oklahoma,2019,3302,413575,3302
383241,Fraud,4,Fraud,Alabama,2018,4392,383241,4392
492886,Fraud,1,Fraud,Wyoming,2022,620,492886,620
336868,Other,4,Other,Maine,2021,566,336868,566
248549,Other,3,Other,Michigan,2019,5116,248549,5116
336868,Other,4,Other,West Virginia,2021,991,336868,991
435820,Fraud,1,Fraud,Delaware,2020,1451,435820,1451
336868,Other,4,Other,Connecticut,2021,2532,336868,2532
248549,Other,3,Other,Alaska,2019,239,248549,239
535536,Fraud,2,Fraud,Wisconsin,2019,7008,535536,7008
263547,Other,1,Other,Alaska,2020,283,263547,283
435820,Fraud,1,Fraud,California,2020,37914,435820,37914
406911,Other,2,Other,Arizona,2021,7135,406911,7135
230049,Other,1,Other,Florida,2019,20773,230049,20773
328392,Other,1,Other,Arkansas,2022,1931,328392,1931
729718,Fraud,2,Fraud,Florida,2021,42287,729718,42287
230049,Other,1,Other,Pennsylvania,2019,7473,230049,7473
600629,Fraud,2,Fraud,New Hampshire,2020,2074,600629,2074
435820,Fraud,1,Fraud,District of Columbia,2020,1067,435820,1067
413575,Fraud,1,Fraud,Idaho,2019,1730,413575,1730
383241,Fraud,4,Fraud,New Mexico,2018,1968,383241,1968
831544,Fraud,1,Fraud,Nebraska,2021,3256,831544,3256
360304,Fraud,1,Fraud,Louisiana,2018,2992,360304,2992
383241,Fraud,4,Fraud,California,2018,33335,383241,33335
624173,Fraud,4,Fraud,Nevada,2020,5719,624173,5719
600629,Fraud,2,Fraud,New York,2020,28409,600629,28409
380279,Fraud,2,Fraud,Maryland,2018,6017,380279,6017
600629,Fraud,2,Fraud,Wisconsin,2020,7606,600629,7606
729718,Fraud,2,Fraud,Oregon,2021,8356,729718,8356
413841,Other,1,Other,Illinois,2021,19211,413841,19211
435820,Fraud,1,Fraud,Oklahoma,2020,3235,435820,3235
336713,Other,3,Other,West Virginia,2020,1090,336713,1090
236641,Other,4,Other,Michigan,2019,5082,236641,5082
360718,Other,4,Other,Idaho,2020,884,360718,884
236641,Other,4,Other,Arkansas,2019,1505,236641,1505
624173,Fraud,4,Fraud,Louisiana,2020,5336,624173,5336
253567,Other,2,Other,Montana,2019,399,253567,399
399061,Fraud,3,Fraud,Illinois,2018,10512,399061,10512
600629,Fraud,2,Fraud,Texas,2020,37310,600629,37310
435820,Fraud,1,Fraud,Maine,2020,1326,435820,1326
360718,Other,4,Other,South Dakota,2020,361,360718,361
336713,Other,3,Other,Arizona,2020,6656,336713,6656
403773,Fraud,4,Fraud,Missouri,2019,6062,403773,6062
529166,Fraud,3,Fraud,Mississippi,2019,3058,529166,3058
529166,Fraud,3,Fraud,Ohio,2019,14497,529166,14497
250155,Other,4,Other,Vermont,2018,232,250155,232
310369,Other,3,Other,Georgia,2018,15072,310369,15072
380279,Fraud,2,Fraud,Alabama,2018,4338,380279,4338
573651,Fraud,4,Fraud,West Virginia,2021,2075,573651,2075
383241,Fraud,4,Fraud,Maine,2018,1230,383241,1230
310369,Other,3,Other,Rhode Island,2018,876,310369,876
413575,Fraud,1,Fraud,Pennsylvania,2019,12715,413575,12715
535536,Fraud,2,Fraud,Wisconsin,2019,7008,535536,7008
573651,Fraud,4,Fraud,Wisconsin,2021,6738,573651,6738
380279,Fraud,2,Fraud,Georgia,2018,9618,380279,9618
648197,Fraud,3,Fraud,New Hampshire,2020,2027,648197,2027
305963,Other,2,Other,California,2020,31561,305963,31561
360718,Other,4,Other,Wisconsin,2020,3137,360718,3137
600629,Fraud,2,Fraud,Arkansas,2020,3234,600629,3234
305963,Other,2,Other,Michigan,2020,6001,305963,6001
336713,Other,3,Other,Arizona,2020,6656,336713,6656
435820,Fraud,1,Fraud,Arizona,2020,8067,435820,8067
624173,Fraud,4,Fraud,Minnesota,2020,7925,624173,7925
535536,Fraud,2,Fraud,Texas,2019,32286,535536,32286
415398,Other,3,Other,Wisconsin,2021,3698,415398,3698
535536,Fraud,2,Fraud,Montana,2019,1371,535536,1371
336868,Other,4,Other,Nevada,2021,3827,336868,3827
380279,Fraud,2,Fraud,Alaska,2018,752,380279,752
648197,Fraud,3,Fraud,Utah,2020,4693,648197,4693
383241,Fraud,4,Fraud,Vermont,2018,599,383241,599
253567,Other,2,Other,Oklahoma,2019,1655,253567,1655
600629,Fraud,2,Fraud,District of Columbia,2020,1481,600629,1481
328392,Other,1,Other,Wyoming,2022,236,328392,236
263547,Other,1,Other,Kentucky,2020,2333,263547,2333
535536,Fraud,2,Fraud,Ohio,2019,14641,535536,14641
600629,Fraud,2,Fraud,Indiana,2020,8374,600629,8374
305963,Other,2,Other,Idaho,2020,802,305963,802
600629,Fraud,2,Fraud,Rhode Island,2020,1286,600629,1286
230049,Other,1,Other,Delaware,2019,730,230049,730
310369,Other,3,Other,North Carolina,2018,8433,310369,8433
403773,Fraud,4,Fraud,New Hampshire,2019,1411,403773,1411
573651,Fraud,4,Fraud,Idaho,2021,2193,573651,2193
383241,Fraud,4,Fraud,New Jersey,2018,8421,383241,8421
831544,Fraud,1,Fraud,Wyoming,2021,925,831544,925
253567,Other,2,Other,Mississippi,2019,1590,253567,1590
322678,Other,2,Other,Massachusetts,2018,4097,322678,4097
383241,Fraud,4,Fraud,Maryland,2018,6333,383241,6333
305963,Other,2,Other,Indiana,2020,3616,305963,3616
310369,Other,3,Other,California,2018,35146,310369,35146
648197,Fraud,3,Fraud,Wisconsin,2020,8576,648197,8576
0,IDT,2,Identity Theft,Rhode Island,2018,0,0,0
248549,Other,3,Other,District of Columbia,2019,932,248549,932
413575,Fraud,1,Fraud,Maine,2019,1154,413575,1154
729718,Fraud,2,Fraud,Massachusetts,2021,11905,729718,11905
310369,Other,3,Other,Florida,2018,33280,310369,33280
729718,Fraud,2,Fraud,Delaware,2021,2001,729718,2001
310369,Other,3,Other,Maine,2018,595,310369,595
253567,Other,2,Other,Maryland,2019,5167,253567,5167
263547,Other,1,Other,Kentucky,2020,2333,263547,2333
250155,Other,4,Other,Hawaii,2018,569,250155,569
600629,Fraud,2,Fraud,Kentucky,2020,5908,600629,5908
399061,Fraud,3,Fraud,New York,2018,17633,399061,17633
230049,Other,1,Other,North Carolina,2019,6906,230049,6906
380279,Fraud,2,Fraud,Texas,2018,22095,380279,22095
248549,Other,3,Other,Arkansas,2019,1423,248549,1423
336713,Other,3,Other,Vermont,2020,343,336713,343
230049,Other,1,Other,South Dakota,2019,274,230049,274
529166,Fraud,3,Fraud,District of Columbia,2019,1428,529166,1428
831544,Fraud,1,Fraud,California,2021,69813,831544,69813
406911,Other,2,Other,North Dakota,2021,369,406911,369
230049,Other,1,Other,Missouri,2019,4323,230049,4323
328392,Other,1,Other,Rhode Island,2022,759,328392,759
413575,Fraud,1,Fraud,Oregon,2019,4714,413575,4714
336868,Other,4,Other,Illinois,2021,11593,336868,11593
600629,Fraud,2,Fraud,Alabama,2020,6082,600629,6082
322678,Other,2,Other,Montana,2018,421,322678,421
492886,Fraud,1,Fraud,Pennsylvania,2022,15620,492886,15620
360718,Other,4,Other,Nebraska,2020,860,360718,860
0,IDT,1,Identity Theft,Pennsylvania,2020,0,0,0
320281,Other,1,Other,Alaska,2018,313,320281,313
0,IDT,2,Identity Theft,Minnesota,2020,0,0,0
250155,Other,4,Other,Missouri,2018,4399,250155,4399
415398,Other,3,Other,New York,2021,21846,415398,21846
729337,Fraud,3,Fraud,New Hampshire,2021,2234,729337,2234
624173,Fraud,4,Fraud,Nebraska,2020,2547,624173,2547
236641,Other,4,Other,Connecticut,2019,2220,236641,2220
236641,Other,4,Other,Oregon,2019,1983,236641,1983
403773,Fraud,4,Fraud,Idaho,2019,1545,403773,1545
648197,Fraud,3,Fraud,Oklahoma,2020,4972,648197,4972
399061,Fraud,3,Fraud,Montana,2018,1325,399061,1325
435820,Fraud,1,Fraud,Louisiana,2020,3701,435820,3701
535536,Fraud,2,Fraud,West Virginia,2019,2233,535536,2233
406911,Other,2,Other,Kentucky,2021,2841,406911,2841
399061,Fraud,3,Fraud,Connecticut,2018,3135,399061,3135
399061,Fraud,3,Fraud,Tennessee,2018,6528,399061,6528
729337,Fraud,3,Fraud,Michigan,2021,14307,729337,14307
399061,Fraud,3,Fraud,Alabama,2018,4951,399061,4951
360718,Other,4,Other,Colorado,2020,5081,360718,5081
406911,Other,2,Other,Minnesota,2021,3401,406911,3401
0,IDT,1,Identity Theft,Indiana,2021,0,0,0
0,IDT,3,Identity Theft,North Carolina,2020,0,0,0
413841,Other,1,Other,Rhode Island,2021,1741,413841,1741
360718,Other,4,Other,Colorado,2020,5081,360718,5081
383241,Fraud,4,Fraud,Montana,2018,1088,383241,1088
336713,Other,3,Other,Massachusetts,2020,5353,336713,5353
399061,Fraud,3,Fraud,Louisiana,2018,4121,399061,4121
573651,Fraud,4,Fraud,New York,2021,24927,573651,24927
230049,Other,1,Other,Maine,2019,606,230049,606
573651,Fraud,4,Fraud,Oregon,2021,6050,573651,6050
383241,Fraud,4,Fraud,Virginia,2018,8352,383241,8352
320281,Other,1,Other,Minnesota,2018,2622,320281,2622
0,IDT,1,Identity Theft,Wisconsin,2019,0,0,0
236641,Other,4,Other,New Mexico,2019,978,236641,978
403773,Fraud,4,Fraud,Wyoming,2019,494,403773,494
435820,Fraud,1,Fraud,Delaware,2020,1451,435820,1451
250155,Other,4,Other,New Hampshire,2018,735,250155,735
492886,Fraud,1,Fraud,Indiana,2022,7288,492886,7288
320281,Other,1,Other,Florida,2018,36748,320281,36748
236641,Other,4,Other,North Dakota,2019,204,236641,204
435820,Fraud,1,Fraud,New York,2020,19878,435820,19878
0,IDT,2,Identity Theft,Florida,2018,0,0,0
360304,Fraud,1,Fraud,Texas,2018,19432,360304,19432
310369,Other,3,Other,Mississippi,2018,1865,310369,1865
383241,Fraud,4,Fraud,Missouri,2018,5670,383241,5670
336868,Other,4,Other,Nevada,2021,3827,336868,3827
435820,Fraud,1,Fraud,Delaware,2020,1451,435820,1451
263547,Other,1,Other,New York,2020,14179,263547,14179
648197,Fraud,3,Fraud,Indiana,2020,8563,648197,8563
328392,Other,1,Other,Pennsylvania,2022,18466,328392,18466
529166,Fraud,3,Fraud,Arizona,2019,12331,529166,12331
310369,Other,3,Other,Alabama,2018,4526,310369,4526
435820,Fraud,1,Fraud,Hawaii,2020,1355,435820,1355
729718,Fraud,2,Fraud,Nevada,2021,6559,729718,6559
236641,Other,4,Other,Pennsylvania,2019,7398,236641,7398
230049,Other,1,Other,Maine,2019,606,230049,606
415398,Other,3,Other,Minnesota,2021,3414,415398,3414
535536,Fraud,2,Fraud,West Virginia,2019,2233,535536,2233
320281,Other,1,Other,North Dakota,2018,187,320281,187
336868,Other,4,Other,Iowa,2021,1340,336868,1340
492886,Fraud,1,Fraud,Delaware,2022,1498,492886,1498
600629,Fraud,2,Fraud,Wyoming,2020,683,600629,683
399061,Fraud,3,Fraud,Idaho,2018,1690,399061,1690
831544,Fraud,1,Fraud,Rhode Island,2021,2211,831544,2211
0,IDT,2,Identity Theft,Illinois,2018,0,0,0
529166,Fraud,3,Fraud,New Hampshire,2019,1713,529166,1713
435820,Fraud,1,Fraud,Delaware,2020,1451,435820,1451
573651,Fraud,4,Fraud,Florida,2021,32059,573651,32059
360304,Fraud,1,Fraud,South Dakota,2018,534,360304,534
0,IDT,4,Identity Theft,Minnesota,2019,0,0,0
230049,Other,1,Other,West Virginia,2019,736,230049,736
310369,Other,3,Other,Montana,2018,427,310369,427
250155,Other,4,Other,Texas,2018,23807,250155,23807
360304,Fraud,1,Fraud,South Dakota,2018,534,360304,534
383241,Fraud,4,Fraud,Maryland,2018,6333,383241,6333
250155,Other,4,Other,Georgia,2018,11921,250155,11921
360718,Other,4,Other,Maine,2020,757,360718,757
529166,Fraud,3,Fraud,Minnesota,2019,6698,529166,6698
535536,Fraud,2,Fraud,Tennessee,2019,8766,535536,8766
729337,Fraud,3,Fraud,New Hampshire,2021,2234,729337,2234
253567,Other,2,Other,Wyoming,2019,240,253567,240
320281,Other,1,Other,South Dakota,2018,239,320281,239
624173,Fraud,4,Fraud,Rhode Island,2020,1705,624173,1705
403773,Fraud,4,Fraud,New Jersey,2019,8080,403773,8080
573651,Fraud,4,Fraud,Indiana,2021,7601,573651,7601
535536,Fraud,2,Fraud,South Dakota,2019,697,535536,697
263547,Other,1,Other,Illinois,2020,8209,263547,8209
831544,Fraud,1,Fraud,New Mexico,2021,4251,831544,4251
380279,Fraud,2,Fraud,New Jersey,2018,7271,380279,7271
831544,Fraud,1,Fraud,Kentucky,2021,7491,831544,7491
573651,Fraud,4,Fraud,Oregon,2021,6050,573651,6050
230049,Other,1,Other,Massachusetts,2019,2969,230049,2969
403773,Fraud,4,Fraud,Virginia,2019,9220,403773,9220
336713,Other,3,Other,Wisconsin,2020,3218,336713,3218
