State Name,Fraud,Quarter,Report Type,Year,Fixed Overall Qtr Losses,Fixed State Qtr Losses,Overall Total Losses by Type Qtr,Total Losses
Washington,Fraud,1,Fraud,2019,508677995.648923,8027131.98000003,508677995.648923,8027131.98000003
New Hampshire,Other,4,Other,2019,295265401.890004,867433.27,295265401.890004,867433.27
New York,Fraud,4,Fraud,2018,397093881.427538,16217894.4900001,397093881.427538,16217894.4900001
Michigan,Other,3,Other,2021,196990073.340001,2451956.56,196990073.340001,2451956.56
New Mexico,Other,1,Other,2021,279256627.530002,1333837.65,279256627.530002,1333837.65
New Mexico,Fraud,3,Fraud,2019,665445943.337642,2591886.62,665445943.337642,2591886.62
Massachusetts,Other,4,Other,2021,198243503.149999,1484586.22,198243503.149999,1484586.22
Vermont,Other,3,Other,2021,196990073.340001,628548.88,196990073.340001,628548.88
New Hampshire,Fraud,3,Fraud,2020,890919586.840231,1122338.15,890919586.840231,1122338.15
Wisconsin,Other,1,Other,2022,211915621.62,2092699.2,211915621.62,2092699.2
Massachusetts,Other,1,Other,2020,273618221.910002,4749377.37000001,273618221.910002,4749377.37000001
Ohio,Other,4,Other,2021,198243503.149999,2891982.17,198243503.149999,2891982.17
Arizona,Other,1,Other,2022,211915621.62,3572635.19,211915621.62,3572635.19
Wisconsin,Fraud,2,Fraud,2021,1363092689.48017,11310509.9300001,1363092689.48017,11310509.9300001
Hawaii,Fraud,2,Fraud,2019,602374374.655126,2075967.89,602374374.655126,2075967.89
Louisiana,Other,4,Other,2018,198059364.600001,1769444.38,198059364.600001,1769444.38
Idaho,Fraud,2,Fraud,2020,819552937.990118,2151975.82,819552937.990118,2151975.82
West Virginia,Other,2,Other,2021,193273318.52,258202.73,193273318.52,258202.73
Pennsylvania,Other,2,Other,2021,193273318.52,6358963.47,193273318.52,6358963.47
Florida,Fraud,2,Fraud,2020,819552937.990118,51921387.9799997,819552937.990118,51921387.9799997
Illinois,Other,4,Other,2019,295265401.890004,6169779.87000002,295265401.890004,6169779.87000002
Ohio,Fraud,1,Fraud,2020,731467189.080063,11150176.4500001,731467189.080063,11150176.4500001
South Carolina,Other,4,Other,2020,330804770.270009,4534864.99000001,330804770.270009,4534864.99000001
Rhode Island,Other,2,Other,2018,193419326.630001,618155.54,193419326.630001,618155.54
Oregon,Other,3,Other,2021,196990073.340001,1529719.41,196990073.340001,1529719.41
Louisiana,Fraud,1,Fraud,2018,348224707.170025,1852764.33,348224707.170025,1852764.33
Kansas,Other,1,Other,2018,122608613.55,326697.52,122608613.55,326697.52
Michigan,Fraud,4,Fraud,2018,397093881.427538,7516818.32000005,397093881.427538,7516818.32000005
New Hampshire,Other,3,Other,2020,332376597.910007,1565882.3,332376597.910007,1565882.3
Nevada,Other,1,Other,2022,211915621.62,2083393.93,211915621.62,2083393.93
Nevada,Fraud,4,Fraud,2021,1831379366.41022,23740362.29,1831379366.41022,23740362.29
Minnesota,Fraud,1,Fraud,2020,731467189.080063,10854162.88,731467189.080063,10854162.88
Ohio,Other,4,Other,2018,198059364.600001,5068446.66,198059364.600001,5068446.66
Kentucky,Fraud,1,Fraud,2019,508677995.648923,4023149.97000001,508677995.648923,4023149.97000001
Idaho,Fraud,2,Fraud,2018,436359324.65002,1117435.62,436359324.65002,1117435.62
New Mexico,Other,1,Other,2020,273618221.910002,1836021.71,273618221.910002,1836021.71
Hawaii,Fraud,1,Fraud,2019,508677995.648923,1833976.01,508677995.648923,1833976.01
North Dakota,Fraud,2,Fraud,2018,436359324.65002,858250.97,436359324.65002,858250.97
California,Other,1,Other,2021,279256627.530002,33279741.2199998,279256627.530002,33279741.2199998
Virginia,Fraud,1,Fraud,2019,508677995.648923,12194198.62,508677995.648923,12194198.62
Virginia,Fraud,4,Fraud,2018,397093881.427538,6894577.36000006,397093881.427538,6894577.36000006
New Mexico,Fraud,1,Fraud,2019,508677995.648923,3449532.85,508677995.648923,3449532.85
Washington,Other,1,Other,2019,196919122.739999,2615131.1,196919122.739999,2615131.1
Idaho,Fraud,2,Fraud,2019,602374374.655126,2201448.74,602374374.655126,2201448.74
South Dakota,Fraud,4,Fraud,2018,397093881.427538,990203.41,397093881.427538,990203.41
Georgia,Other,3,Other,2018,229059946.16,6841214.39000001,229059946.16,6841214.39000001
Puerto Rico,Fraud,3,Fraud,2020,890919586.840231,2703980.31,890919586.840231,2703980.31
Pennsylvania,IDT,1,Identity Theft,2022,0,0,0,0
Massachusetts,Other,1,Other,2021,279256627.530002,4462678.27000001,279256627.530002,4462678.27000001
Michigan,Other,3,Other,2021,196990073.340001,2451956.56,196990073.340001,2451956.56
Hawaii,Other,1,Other,2021,279256627.530002,654328.16,279256627.530002,654328.16
New Mexico,Fraud,2,Fraud,2021,1363092689.48017,8807456.17000001,1363092689.48017,8807456.17000001
Michigan,Other,4,Other,2021,198243503.149999,1955417.14,198243503.149999,1955417.14
Maine,Fraud,3,Fraud,2021,1605525076.80025,1946666.15,1605525076.80025,1946666.15
Oklahoma,Fraud,1,Fraud,2020,731467189.080063,3283004.26,731467189.080063,3283004.26
West Virginia,Fraud,4,Fraud,2018,397093881.427538,914472.369999999,397093881.427538,914472.369999999
Iowa,Fraud,4,Fraud,2018,397093881.427538,1394771.83,397093881.427538,1394771.83
Connecticut,Fraud,4,Fraud,2020,1003279528.43026,5837630.16000001,1003279528.43026,5837630.16000001
California,Other,3,Other,2019,282964798.270002,28808125.1999999,282964798.270002,28808125.1999999
Wisconsin,Fraud,4,Fraud,2019,665563062.760347,6951255.46000003,665563062.760347,6951255.46000003
Connecticut,Fraud,3,Fraud,2020,890919586.840231,6049686.16000002,890919586.840231,6049686.16000002
Maine,Other,2,Other,2021,193273318.52,259897.58,193273318.52,259897.58
Maine,Fraud,1,Fraud,2021,1299670971.24025,2283893.23,1299670971.24025,2283893.23
Ohio,Other,1,Other,2022,211915621.62,2782258.33,211915621.62,2782258.33
Texas,Fraud,4,Fraud,2021,1831379366.41022,118198881.31,1831379366.41022,118198881.31
Arizona,Fraud,4,Fraud,2018,397093881.427538,7844669.06000002,397093881.427538,7844669.06000002
Illinois,Fraud,1,Fraud,2021,1299670971.24025,31673856.9699999,1299670971.24025,31673856.9699999
New Mexico,Other,1,Other,2020,273618221.910002,1836021.71,273618221.910002,1836021.71
Ohio,Fraud,4,Fraud,2021,1831379366.41022,23032525.53,1831379366.41022,23032525.53
New York,Fraud,2,Fraud,2019,602374374.655126,30704603.1099998,602374374.655126,30704603.1099998
Washington,Other,4,Other,2020,330804770.270009,9573006.20000002,330804770.270009,9573006.20000002
Mississippi,IDT,4,Identity Theft,2018,0,0,0,0
Arizona,Other,3,Other,2020,332376597.910007,8610974.96000001,332376597.910007,8610974.96000001
Oklahoma,Fraud,1,Fraud,2021,1299670971.24025,8380620.41000002,1299670971.24025,8380620.41000002
Louisiana,Fraud,2,Fraud,2019,602374374.655126,2766771.75,602374374.655126,2766771.75
North Dakota,Fraud,1,Fraud,2021,1299670971.24025,2555329.81,1299670971.24025,2555329.81
New Hampshire,Other,4,Other,2021,198243503.149999,375534.86,198243503.149999,375534.86
Oregon,Other,4,Other,2021,198243503.149999,2541999.29,198243503.149999,2541999.29
Florida,Other,3,Other,2021,196990073.340001,14217964.32,196990073.340001,14217964.32
Oklahoma,Other,1,Other,2022,211915621.62,771267.34,211915621.62,771267.34
North Dakota,Other,2,Other,2018,193419326.630001,175831.56,193419326.630001,175831.56
Missouri,Fraud,4,Fraud,2019,665563062.760347,10085502.21,665563062.760347,10085502.21
Virginia,Fraud,1,Fraud,2021,1299670971.24025,25037417.57,1299670971.24025,25037417.57
Vermont,Fraud,4,Fraud,2018,397093881.427538,1054515.02,397093881.427538,1054515.02
Mississippi,Fraud,1,Fraud,2021,1299670971.24025,4357911.79,1299670971.24025,4357911.79
South Carolina,Fraud,1,Fraud,2020,731467189.080063,8443138.56000003,731467189.080063,8443138.56000003
Hawaii,Other,1,Other,2019,196919122.739999,950545.1,196919122.739999,950545.1
Oklahoma,Fraud,1,Fraud,2020,731467189.080063,3283004.26,731467189.080063,3283004.26
Nevada,Fraud,4,Fraud,2019,665563062.760347,6413781.09000001,665563062.760347,6413781.09000001
Oklahoma,Other,1,Other,2019,196919122.739999,767897.44,196919122.739999,767897.44
Maine,Fraud,1,Fraud,2019,508677995.648923,627204.99,508677995.648923,627204.99
Minnesota,Other,4,Other,2018,198059364.600001,3069898.8,198059364.600001,3069898.8
Delaware,Fraud,1,Fraud,2020,731467189.080063,2710336.89,731467189.080063,2710336.89
Georgia,Fraud,4,Fraud,2019,665563062.760347,14910961.8800001,665563062.760347,14910961.8800001
Georgia,Other,1,Other,2022,211915621.62,4967125.98,211915621.62,4967125.98
North Dakota,Fraud,3,Fraud,2021,1605525076.80025,2896736.09,1605525076.80025,2896736.09
Montana,Fraud,1,Fraud,2021,1299670971.24025,3629740.18,1299670971.24025,3629740.18
Ohio,Fraud,1,Fraud,2022,1691830157.70014,24483559.95,1691830157.70014,24483559.95
Mississippi,Other,2,Other,2020,280093545.500005,1012080.63,280093545.500005,1012080.63
Massachusetts,Fraud,4,Fraud,2020,1003279528.43026,10516015.18,1003279528.43026,10516015.18
New York,Fraud,3,Fraud,2020,890919586.840231,44179941.9299994,890919586.840231,44179941.9299994
Texas,Fraud,3,Fraud,2019,665445943.337642,42192324.9599996,665445943.337642,42192324.9599996
Idaho,Other,1,Other,2021,279256627.530002,600169.8,279256627.530002,600169.8
New Jersey,Other,3,Other,2019,282964798.270002,5126002.04000001,282964798.270002,5126002.04000001
District of Columbia,Fraud,3,Fraud,2018,434213799.69002,767720.54,434213799.69002,767720.54
Louisiana,Fraud,2,Fraud,2019,602374374.655126,2766771.75,602374374.655126,2766771.75
Utah,Fraud,3,Fraud,2020,890919586.840231,7549202.76000002,890919586.840231,7549202.76000002
Nevada,Other,4,Other,2019,295265401.890004,2370553.48,295265401.890004,2370553.48
Florida,Fraud,1,Fraud,2019,508677995.648923,30011962.25,508677995.648923,30011962.25
New Jersey,Other,4,Other,2019,295265401.890004,4740495.63,295265401.890004,4740495.63
Hawaii,Other,4,Other,2020,330804770.270009,756051.42,330804770.270009,756051.42
Idaho,Fraud,1,Fraud,2019,508677995.648923,2443636.68,508677995.648923,2443636.68
Kansas,Other,2,Other,2020,280093545.500005,624532.36,280093545.500005,624532.36
New York,Other,1,Other,2022,211915621.62,9763047.13,211915621.62,9763047.13
South Dakota,Fraud,4,Fraud,2019,665563062.760347,337764.95,665563062.760347,337764.95
Mississippi,Other,3,Other,2019,282964798.270002,1034190.81,282964798.270002,1034190.81
Minnesota,Fraud,2,Fraud,2019,602374374.655126,7982600.02000002,602374374.655126,7982600.02000002
Mississippi,Fraud,1,Fraud,2020,731467189.080063,2333705.55,731467189.080063,2333705.55
Florida,Fraud,2,Fraud,2018,436359324.65002,26424161.3699998,436359324.65002,26424161.3699998
Vermont,Fraud,4,Fraud,2019,665563062.760347,1583973.57,665563062.760347,1583973.57
Arkansas,Fraud,3,Fraud,2020,890919586.840231,3566255.18000001,890919586.840231,3566255.18000001
West Virginia,Fraud,4,Fraud,2021,1831379366.41022,2735203.34,1831379366.41022,2735203.34
Georgia,Other,3,Other,2018,229059946.16,6841214.39000001,229059946.16,6841214.39000001
North Carolina,Other,1,Other,2022,211915621.62,3043746.19,211915621.62,3043746.19
Louisiana,Fraud,2,Fraud,2021,1363092689.48017,7132731.07000002,1363092689.48017,7132731.07000002
Oklahoma,Fraud,1,Fraud,2019,508677995.648923,2771995.88,508677995.648923,2771995.88
Alabama,Fraud,4,Fraud,2018,397093881.427538,2693100.66000001,397093881.427538,2693100.66000001
Wyoming,Fraud,1,Fraud,2022,1691830157.70014,976751.16,1691830157.70014,976751.16
Maine,Other,4,Other,2021,198243503.149999,176352.68,198243503.149999,176352.68
Michigan,Other,3,Other,2019,282964798.270002,4540173.82000001,282964798.270002,4540173.82000001
West Virginia,Other,4,Other,2021,198243503.149999,352878.06,198243503.149999,352878.06
Delaware,Fraud,1,Fraud,2020,731467189.080063,2710336.89,731467189.080063,2710336.89
Connecticut,Other,4,Other,2021,198243503.149999,652299.42,198243503.149999,652299.42
Alaska,Other,3,Other,2019,282964798.270002,169617.24,282964798.270002,169617.24
Wisconsin,Fraud,2,Fraud,2019,602374374.655126,5340576.35000001,602374374.655126,5340576.35000001
Alaska,Other,1,Other,2020,273618221.910002,463792.25,273618221.910002,463792.25
California,Fraud,1,Fraud,2020,731467189.080063,87419789.23,731467189.080063,87419789.23
Arizona,Other,2,Other,2021,193273318.52,4664436.86,193273318.52,4664436.86
Florida,Other,1,Other,2019,196919122.739999,13597779.04,196919122.739999,13597779.04
Arkansas,Other,1,Other,2022,211915621.62,378768.83,211915621.62,378768.83
Florida,Fraud,2,Fraud,2021,1363092689.48017,77775099.7899999,1363092689.48017,77775099.7899999
Pennsylvania,Other,1,Other,2019,196919122.739999,5959366.05000001,196919122.739999,5959366.05000001
New Hampshire,Fraud,2,Fraud,2020,819552937.990118,2064256.25,819552937.990118,2064256.25
District of Columbia,Fraud,1,Fraud,2020,731467189.080063,1199743.53,731467189.080063,1199743.53
Idaho,Fraud,1,Fraud,2019,508677995.648923,2443636.68,508677995.648923,2443636.68
New Mexico,Fraud,4,Fraud,2018,397093881.427538,1926136.65,397093881.427538,1926136.65
Nebraska,Fraud,1,Fraud,2021,1299670971.24025,3806411.39,1299670971.24025,3806411.39
Louisiana,Fraud,1,Fraud,2018,348224707.170025,1852764.33,348224707.170025,1852764.33
California,Fraud,4,Fraud,2018,397093881.427538,43330108.17,397093881.427538,43330108.17
Nevada,Fraud,4,Fraud,2020,1003279528.43026,10509947.71,1003279528.43026,10509947.71
New York,Fraud,2,Fraud,2020,819552937.990118,48405133.3699996,819552937.990118,48405133.3699996
Maryland,Fraud,2,Fraud,2018,436359324.65002,5774461.87000002,436359324.65002,5774461.87000002
Wisconsin,Fraud,2,Fraud,2020,819552937.990118,9000197.76000006,819552937.990118,9000197.76000006
Oregon,Fraud,2,Fraud,2021,1363092689.48017,14403653.73,1363092689.48017,14403653.73
Illinois,Other,1,Other,2021,279256627.530002,8537992.50000002,279256627.530002,8537992.50000002
Oklahoma,Fraud,1,Fraud,2020,731467189.080063,3283004.26,731467189.080063,3283004.26
West Virginia,Other,3,Other,2020,332376597.910007,771981.46,332376597.910007,771981.46
Michigan,Other,4,Other,2019,295265401.890004,7846906.82000001,295265401.890004,7846906.82000001
Idaho,Other,4,Other,2020,330804770.270009,656773.95,330804770.270009,656773.95
Arkansas,Other,4,Other,2019,295265401.890004,1243312.67,295265401.890004,1243312.67
Louisiana,Fraud,4,Fraud,2020,1003279528.43026,6357086.50000003,1003279528.43026,6357086.50000003
Montana,Other,2,Other,2019,195488970.690001,164198.12,195488970.690001,164198.12
Illinois,Fraud,3,Fraud,2018,434213799.69002,7460502.38000003,434213799.69002,7460502.38000003
Texas,Fraud,2,Fraud,2020,819552937.990118,51279659.0199998,819552937.990118,51279659.0199998
Maine,Fraud,1,Fraud,2020,731467189.080063,1473740.59,731467189.080063,1473740.59
South Dakota,Other,4,Other,2020,330804770.270009,226370.13,330804770.270009,226370.13
Arizona,Other,3,Other,2020,332376597.910007,8610974.96000001,332376597.910007,8610974.96000001
Missouri,Fraud,4,Fraud,2019,665563062.760347,10085502.21,665563062.760347,10085502.21
Mississippi,Fraud,3,Fraud,2019,665445943.337642,2279574.92,665445943.337642,2279574.92
Ohio,Fraud,3,Fraud,2019,665445943.337642,13507668.85,665445943.337642,13507668.85
Vermont,Other,4,Other,2018,198059364.600001,110785.37,198059364.600001,110785.37
Georgia,Other,3,Other,2018,229059946.16,6841214.39000001,229059946.16,6841214.39000001
Alabama,Fraud,2,Fraud,2018,436359324.65002,2730245.79000001,436359324.65002,2730245.79000001
West Virginia,Fraud,4,Fraud,2021,1831379366.41022,2735203.34,1831379366.41022,2735203.34
Maine,Fraud,4,Fraud,2018,397093881.427538,795150.06,397093881.427538,795150.06
Rhode Island,Other,3,Other,2018,229059946.16,250011.58,229059946.16,250011.58
Pennsylvania,Fraud,1,Fraud,2019,508677995.648923,13150719.88,508677995.648923,13150719.88
Wisconsin,Fraud,2,Fraud,2019,602374374.655126,5340576.35000001,602374374.655126,5340576.35000001
Wisconsin,Fraud,4,Fraud,2021,1831379366.41022,14396956.48,1831379366.41022,14396956.48
Georgia,Fraud,2,Fraud,2018,436359324.65002,8601908.33000004,436359324.65002,8601908.33000004
New Hampshire,Fraud,3,Fraud,2020,890919586.840231,1122338.15,890919586.840231,1122338.15
California,Other,2,Other,2020,280093545.500005,36975226.81,280093545.500005,36975226.81
Wisconsin,Other,4,Other,2020,330804770.270009,3142401.77000001,330804770.270009,3142401.77000001
Arkansas,Fraud,2,Fraud,2020,819552937.990118,2327921.71,819552937.990118,2327921.71
