State Name,Quarter,Year,Fixed State F&O,Reports per 100K-F&O together,State Pop,State Total Reports Quarter
Oregon,4,2019,6566,155.675899185,4217737,6566
Idaho,4,2019,2255,126.184554003,1787065,2255
Oklahoma,3,2020,7074,178.773107005,3956971,7074
Montana,3,2018,1746,163.364141103,1068778,1746
Louisiana,1,2020,6849,147.328532949,4648794,6849
West Virginia,2,2019,2931,163.546851904,1792147,2931
Kentucky,2,2021,9750,218.234414202,4467673,9750
Connecticut,3,2018,5676,159.201769731,3565287,5676
Tennessee,3,2018,19639,287.575042018,6829174,19639
Michigan,3,2021,22572,226.017054214,9986857,22572
Alabama,3,2018,9470,193.139765275,4903185,9470
Colorado,4,2020,14701,255.281714598,5758736,14701
Minnesota,2,2021,12147,215.386394006,5639632,12147
Indiana,1,2021,18207,270.445747531,6732219,0
North Carolina,3,2020,25738,245.402306084,10488084,0
Rhode Island,1,2021,3933,371.261543515,1059361,3933
Colorado,4,2020,14701,255.281714598,5758736,14701
Montana,4,2018,1443,135.014006651,1068778,1443
Massachusetts,3,2020,15198,220.500448096,6892503,15198
Louisiana,3,2018,7656,164.687873887,4648794,7656
New York,4,2021,43343,222.802395921,19453561,43343
Maine,1,2019,1750,130.187797758,1344212,1750
Oregon,4,2021,8255,195.721070328,4217737,8255
Virginia,4,2018,13729,160.845520934,8535519,13729
Minnesota,1,2018,7099,125.877007578,5639632,7099
Wisconsin,1,2019,8366,143.685613268,5822434,0
New Mexico,4,2019,2985,142.357817447,2096829,2985
Wyoming,4,2019,730,126.131947840,578759,730
Delaware,1,2020,2359,242.255823793,973764,2359
New Hampshire,4,2018,2052,150.914422256,1359711,2052
Indiana,1,2022,11612,172.483990791,6732219,11612
Florida,1,2018,56866,264.767186599,21477737,56866
North Dakota,4,2019,673,88.313024400,762062,673
New York,1,2020,33837,173.937306388,19453561,33837
Florida,2,2018,59081,275.080191177,21477737,0
Texas,1,2018,54509,187.988769853,28995881,54509
Mississippi,3,2018,4154,139.576345136,2976149,4154
Missouri,4,2018,10056,163.847135966,6137428,10056
Nevada,4,2021,8893,288.719142797,3080156,8893
Delaware,1,2020,2359,242.255823793,973764,2359
New York,1,2020,33837,173.937306388,19453561,33837
Indiana,3,2020,12587,186.966585609,6732219,12587
Pennsylvania,1,2022,33937,265.091619748,12801989,33937
Arizona,3,2019,17195,236.236688416,7278717,17195
Alabama,3,2018,9470,193.139765275,4903185,9470
Hawaii,1,2020,2009,141.891357411,1415872,2009
Nevada,2,2021,11581,375.987449986,3080156,11581
Pennsylvania,4,2019,19706,153.929205844,12801989,19706
Maine,1,2019,1750,130.187797758,1344212,1750
Minnesota,3,2021,11347,201.201071276,5639632,11347
West Virginia,2,2019,2931,163.546851904,1792147,2931
North Dakota,1,2018,612,80.308426349,762062,612
Iowa,4,2021,4153,131.629409173,3155070,4153
Delaware,1,2022,3010,309.109804840,973764,3010
Wyoming,2,2020,953,164.662666153,578759,953
Idaho,3,2018,2593,145.098247685,1787065,2593
Rhode Island,1,2021,3933,371.261543515,1059361,3933
Illinois,2,2018,19834,156.520519032,12671821,0
New Hampshire,3,2019,2363,173.786929723,1359711,2363
Delaware,1,2020,2359,242.255823793,973764,2359
Florida,4,2021,63266,294.565484250,21477737,63266
South Dakota,1,2018,772,87.265262661,884659,772
Minnesota,4,2019,7924,140.505621643,5639632,0
West Virginia,1,2019,2677,149.373907386,1792147,2677
Montana,3,2018,1746,163.364141103,1068778,1746
Texas,4,2018,46567,160.598672618,28995881,46567
South Dakota,1,2018,772,87.265262661,884659,772
Maryland,4,2018,10914,180.525598444,6045680,10914
Georgia,4,2018,22315,210.173410252,10617423,22315
Maine,4,2020,2510,186.726498499,1344212,2510
Minnesota,3,2019,8899,157.793983721,5639632,8899
Tennessee,2,2019,13106,191.911935470,6829174,13106
New Hampshire,3,2021,3025,222.473746259,1359711,3025
Wyoming,2,2019,813,140.472977526,578759,813
South Dakota,1,2018,772,87.265262661,884659,772
Rhode Island,4,2020,2585,244.015024151,1059361,2585
New Jersey,4,2019,13984,157.438649702,8882190,13984
Indiana,4,2021,11837,175.826128057,6732219,11837
South Dakota,2,2019,955,107.951199276,884659,955
Illinois,1,2020,20328,160.418932685,12671821,20328
New Mexico,1,2021,5581,266.163812118,2096829,5581
New Jersey,2,2018,15068,169.642847091,8882190,15068
Kentucky,1,2021,10558,236.319891809,4467673,10558
Oregon,4,2021,8255,195.721070328,4217737,8255
Massachusetts,1,2019,10069,146.086262131,6892503,10069
Virginia,4,2019,14408,168.800514649,8535519,14408
Wisconsin,3,2020,11655,200.174016571,5822434,11655
South Dakota,3,2018,802,90.656399811,884659,802
Nebraska,1,2021,4245,219.446983263,1934408,4245
Ohio,2,2020,24379,208.561822553,11689100,24379
West Virginia,1,2022,2594,144.742590870,1792147,2594
Vermont,2,2018,652,104.489021441,623989,652
Idaho,1,2022,2866,160.374692583,1787065,2866
Nebraska,2,2018,2314,119.623161195,1934408,2314
New Mexico,3,2019,3709,176.886145699,2096829,3709
Indiana,4,2020,13998,207.925499750,6732219,13998
Florida,1,2018,56866,264.767186599,21477737,56866
Illinois,3,2021,36057,284.544739071,12671821,36057
South Dakota,4,2019,770,87.039186851,884659,770
Pennsylvania,2,2020,29163,227.800539432,12801989,29163
Minnesota,1,2020,8431,149.495569924,5639632,8431
Alabama,1,2022,11115,226.689386593,4903185,11115
Massachusetts,3,2019,10502,152.368450184,6892503,10502
California,4,2021,83028,210.132444332,39512223,83028
Wyoming,1,2019,746,128.896483683,578759,746
Nevada,3,2019,8965,291.056686739,3080156,8965
Texas,2,2019,51744,178.452932677,28995881,51744
Florida,2,2018,59081,275.080191177,21477737,59081
Texas,2,2021,86304,297.642275467,28995881,86304
Missouri,1,2018,10664,173.753565826,6137428,10664
Vermont,3,2018,720,115.386649444,623989,720
Alabama,3,2021,15075,307.453216634,4903185,15075
Ohio,3,2021,29717,254.228298158,11689100,29717
Puerto Rico,3,2018,811,25.393791641,3193694,811
West Virginia,3,2018,3076,171.637706059,1792147,3076
Arkansas,4,2020,5325,176.452811382,3017804,5325
Texas,2,2018,57667,198.879971952,28995881,57667
California,4,2021,83028,210.132444332,39512223,83028
Nevada,4,2019,6848,222.326401650,3080156,6848
Massachusetts,4,2020,16679,241.987562428,6892503,16679
Alaska,3,2019,1063,145.308901025,731545,1063
North Carolina,1,2020,18909,180.290318041,10488084,18909
Kentucky,3,2018,6489,145.243396283,4467673,6489
West Virginia,1,2018,2346,130.904440317,1792147,2346
Tennessee,1,2019,11301,165.481213394,6829174,11301
South Carolina,2,2019,10049,195.174950483,5148714,10049
North Dakota,1,2022,863,113.245378985,762062,863
Ohio,2,2020,24379,208.561822553,11689100,24379
Ohio,2,2021,30589,261.688239471,11689100,30589
Kansas,1,2021,9027,309.853314816,2913314,9027
Arkansas,1,2019,3993,132.314756028,3017804,3993
Missouri,2,2019,12087,196.939173869,6137428,12087
Ohio,4,2019,18599,159.114046419,11689100,18599
Iowa,2,2018,3543,112.295448278,3155070,3543
Wyoming,3,2018,686,118.529474272,578759,686
Wisconsin,2,2018,7455,128.039235825,5822434,7455
Iowa,2,2019,4380,138.824178227,3155070,4380
Missouri,2,2019,12087,196.939173869,6137428,12087
Vermont,4,2019,800,128.207388271,623989,800
Kansas,1,2019,3976,136.476878222,2913314,3976
Washington,3,2018,11757,154.394815528,7614893,11757
California,4,2020,87759,222.105954403,39512223,87759
Mississippi,4,2019,3841,129.059398572,2976149,3841
Hawaii,4,2019,1780,125.717578990,1415872,1780
Colorado,2,2018,10673,185.335809803,5758736,10673
North Dakota,4,2021,882,115.738614443,762062,882
Colorado,1,2018,10464,181.706541158,5758736,10464
Vermont,2,2019,902,144.553830276,623989,902
New Jersey,4,2021,20995,236.371885762,8882190,20995
Texas,3,2018,56558,195.055290784,28995881,56558
Indiana,2,2019,10312,153.173864368,6732219,10312
North Carolina,1,2020,18909,180.290318041,10488084,18909
Puerto Rico,2,2019,1152,36.071082577,3193694,1152
Kansas,3,2018,4242,145.607373596,2913314,4242
South Carolina,3,2019,10348,200.982225853,5148714,10348
Utah,3,2020,6471,201.842943669,3205958,6471
Alabama,4,2020,12498,254.895542387,4903185,12498
Wyoming,2,2021,1185,204.748435877,578759,1185
Maine,3,2018,1777,132.196409495,1344212,1777
Virginia,4,2021,20058,234.994497698,8535519,20058
