State Name,Quarter,Report Type,State Median Year,Year,Fixed Overall Median Qtr,Fixed Overall Median Yr,Fixed State Median Qtr,Fixed State Median Yr,Overall Median Losses Qtr,Overall Median Losses Yr,State Median Quarterly
Arizona,3,Fraud,399,2018,380,370,400,399,380,370,400
New Hampshire,1,Other,384.23,2019,410.21,476.66,400,384.23,410.21,476.66,400
Ohio,3,Other,334.18,2018,460.27,460,400,334.18,460.27,460,400
Kansas,2,Fraud,329.485,2019,422.08,394.99,415.25,329.485,422.08,394.99,415.25
Rhode Island,1,Other,456,2022,727.875,727.875,456,456,727.875,727.875,456
Tennessee,3,Fraud,313.5,2019,400,394.99,300,313.5,400,394.99,300
North Dakota,1,Fraud,358.65,2020,330.64,304.99,339.99,358.65,330.64,304.99,339.99
Delaware,4,Other,472.2,2019,492,476.66,500,472.2,492,476.66,500
Hawaii,1,Fraud,740.37,2022,600,600,740.37,740.37,600,600,740.37
Virginia,4,Other,450,2019,492,476.66,465,450,492,476.66,465
New Hampshire,1,Fraud,500,2022,600,600,500,500,600,600,500
Massachusetts,3,Other,300,2021,727,618.38,100,300,727,618.38,100
Florida,2,Other,499,2020,431,487.89,457.245,499,431,487.89,457.245
Colorado,2,Other,593.74,2021,700,618.38,692,593.74,700,618.38,692
District of Columbia,4,Fraud,378.5,2018,306.25,370,355.09,378.5,306.25,370,355.09
Florida,3,Fraud,414.96,2019,400,394.99,430,414.96,400,394.99,430
Hawaii,1,Fraud,356.02,2020,330.64,304.99,537.84,356.02,330.64,304.99,537.84
Florida,3,Fraud,395,2018,380,370,368,395,380,370,368
Vermont,2,Fraud,329,2021,507,500,350,329,507,500,350
Wisconsin,2,Fraud,300,2019,422.08,394.99,352.135,300,422.08,394.99,352.135
Arizona,1,Fraud,700,2022,600,600,700,700,600,600,700
South Carolina,4,Other,473.085,2020,500,487.89,500,473.085,500,487.89,500
Wisconsin,1,Fraud,300,2019,375,394.99,250,300,375,394.99,250
New Mexico,4,Fraud,500,2021,550,500,600,500,550,500,600
Minnesota,4,Other,500,2021,700,618.38,501.295,500,700,618.38,501.295
Tennessee,4,Other,500,2020,500,487.89,500.695,500,500,487.89,500.695
Washington,2,Other,400,2019,499,476.66,450,400,499,476.66,450
South Carolina,4,Other,600,2021,700,618.38,520,600,700,618.38,520
Oregon,4,Fraud,345.4,2018,306.25,370,250,345.4,306.25,370,250
Nebraska,2,Fraud,358,2019,422.08,394.99,500,358,422.08,394.99,500
Texas,1,Other,500,2018,500,460,500,500,500,460,500
Wyoming,3,Other,501.98,2020,490,487.89,347,501.98,490,487.89,347
Oklahoma,1,Fraud,500,2022,600,600,500,500,600,600,500
Minnesota,1,Fraud,380,2019,375,394.99,300,380,375,394.99,300
Delaware,1,Other,400,2018,500,460,657.3,400,500,460,657.3
District of Columbia,1,Identity Theft,0,2020,0,0,0,0,0,0,0
Utah,2,Other,509,2019,499,476.66,400,509,499,476.66,400
Oklahoma,4,Fraud,259.49,2020,328,304.99,307,259.49,328,304.99,307
Texas,3,Fraud,380,2018,380,370,399.99,380,380,370,399.99
Ohio,3,Other,500,2021,727,618.38,699,500,727,618.38,699
Mississippi,4,Other,700,2021,700,618.38,775,700,700,618.38,775
Wisconsin,2,Fraud,299,2018,396,370,300,299,396,370,300
Tennessee,1,Fraud,318.5,2018,404.565,370,383.32,318.5,404.565,370,383.32
Louisiana,2,Other,650,2021,700,618.38,687.5,650,700,618.38,687.5
Utah,2,Other,550,2018,499,460,632.95,550,499,460,632.95
Kentucky,4,Other,500,2021,700,618.38,600,500,700,618.38,600
South Carolina,2,Fraud,350,2019,422.08,394.99,380,350,422.08,394.99,380
Rhode Island,2,Other,580.23,2019,499,476.66,400,580.23,499,476.66,400
Vermont,4,Other,400,2020,500,487.89,384.3,400,500,487.89,384.3
Delaware,3,Fraud,399,2020,279,304.99,343.76,399,279,304.99,343.76
Iowa,1,Other,300,2019,410.21,476.66,205.76,300,410.21,476.66,205.76
California,2,Fraud,480,2019,422.08,394.99,500,480,422.08,394.99,500
Alaska,2,Other,541.595,2019,499,476.66,500,541.595,499,476.66,500
Idaho,1,Fraud,282.99,2020,330.64,304.99,300,282.99,330.64,304.99,300
Nevada,2,Other,500,2019,499,476.66,498.495,500,499,476.66,498.495
Nevada,2,Fraud,630.94,2021,507,500,600,630.94,507,500,600
California,1,Other,619.38,2021,535,618.38,565,619.38,535,618.38,565
Idaho,1,Fraud,282.99,2020,330.64,304.99,300,282.99,330.64,304.99,300
South Dakota,2,Other,949.5,2021,700,618.38,800,949.5,700,618.38,800
New York,4,Fraud,370,2019,335.88,394.99,325,370,335.88,394.99,325
Washington,1,Other,400,2019,410.21,476.66,300,400,410.21,476.66,300
New York,3,Other,400,2019,500,476.66,400,400,500,476.66,400
Illinois,4,Other,440,2019,492,476.66,423.56,440,492,476.66,423.56
Kentucky,3,Other,500,2021,727,618.38,600,500,727,618.38,600
Rhode Island,1,Other,557.985,2020,495,487.89,597.5,557.985,495,487.89,597.5
Pennsylvania,2,Fraud,300,2018,396,370,310.5,300,396,370,310.5
Indiana,4,Other,423.72,2020,500,487.89,532,423.72,500,487.89,532
Tennessee,3,Fraud,313.5,2019,400,394.99,300,313.5,400,394.99,300
Louisiana,2,Other,500,2018,499,460,542.69,500,499,460,542.69
District of Columbia,1,Other,538.48,2022,727.875,727.875,538.48,538.48,727.875,727.875,538.48
South Carolina,2,Other,374,2018,499,460,309,374,499,460,309
Florida,2,Fraud,535,2021,507,500,589.92,535,507,500,589.92
Utah,2,Other,509,2019,499,476.66,400,509,499,476.66,400
New Mexico,1,Other,478.6,2020,495,487.89,500,478.6,495,487.89,500
Oregon,4,Fraud,299.265,2020,328,304.99,308.45,299.265,328,304.99,308.45
Maine,4,Fraud,400,2021,550,500,507.5,400,550,500,507.5
California,3,Other,500,2020,490,487.89,500,500,490,487.89,500
Ohio,2,Other,345,2019,499,476.66,392,345,499,476.66,392
Washington,2,Fraud,390,2019,422.08,394.99,400,390,422.08,394.99,400
Alabama,1,Fraud,260,2020,330.64,304.99,300,260,330.64,304.99,300
Oregon,3,Fraud,299.265,2020,279,304.99,200,299.265,279,304.99,200
Louisiana,3,Fraud,300,2020,279,304.99,279,300,279,304.99,279
New Jersey,2,Other,496,2019,499,476.66,440.06,496,499,476.66,440.06
Massachusetts,2,Fraud,271.5,2020,325,304.99,249,271.5,325,304.99,249
Washington,1,Fraud,390,2019,375,394.99,350,390,375,394.99,350
New Hampshire,4,Other,384.23,2019,492,476.66,380.07,384.23,492,476.66,380.07
New York,4,Fraud,320.51,2018,306.25,370,293.95,320.51,306.25,370,293.95
Michigan,3,Other,450,2021,727,618.38,560,450,727,618.38,560
New Mexico,1,Other,800,2021,535,618.38,800,800,535,618.38,800
New Mexico,3,Fraud,500,2019,400,394.99,500,500,400,394.99,500
Massachusetts,4,Other,300,2021,700,618.38,485,300,700,618.38,485
Vermont,3,Other,584.5,2021,727,618.38,479.88,584.5,727,618.38,479.88
New Hampshire,3,Fraud,230.55,2020,279,304.99,195,230.55,279,304.99,195
Wisconsin,1,Other,600,2022,727.875,727.875,600,600,727.875,727.875,600
Massachusetts,1,Other,500,2020,495,487.89,500,500,495,487.89,500
Ohio,4,Other,500,2021,700,618.38,488.76,500,700,618.38,488.76
Arizona,1,Other,700,2022,727.875,727.875,700,700,727.875,727.875,700
Wisconsin,2,Fraud,395.28,2021,507,500,440,395.28,507,500,440
Hawaii,2,Fraud,500,2019,422.08,394.99,500,500,422.08,394.99,500
Louisiana,4,Other,500,2018,400.08,460,450,500,400.08,460,450
Idaho,2,Fraud,282.99,2020,325,304.99,299.99,282.99,325,304.99,299.99
West Virginia,2,Other,500,2021,700,618.38,500,500,700,618.38,500
Pennsylvania,2,Other,564.55,2021,700,618.38,649.615,564.55,700,618.38,649.615
Florida,2,Fraud,375,2020,325,304.99,415.45,375,325,304.99,415.45
Illinois,4,Other,440,2019,492,476.66,423.56,440,492,476.66,423.56
Ohio,1,Fraud,220,2020,330.64,304.99,241,220,330.64,304.99,241
South Carolina,4,Other,473.085,2020,500,487.89,500,473.085,500,487.89,500
Rhode Island,2,Other,420,2018,499,460,500,420,499,460,500
Oregon,3,Other,505,2021,727,618.38,600,505,727,618.38,600
Louisiana,1,Fraud,368.5,2018,404.565,370,400,368.5,404.565,370,400
Kansas,1,Other,350,2018,500,460,447,350,500,460,447
Michigan,4,Fraud,299,2018,306.25,370,220.985,299,306.25,370,220.985
New Hampshire,3,Other,473.19,2020,490,487.89,473,473.19,490,487.89,473
Nevada,1,Other,650,2022,727.875,727.875,650,650,727.875,727.875,650
Nevada,4,Fraud,630.94,2021,550,500,897.96,630.94,550,500,897.96
Minnesota,1,Fraud,300,2020,330.64,304.99,295.36,300,330.64,304.99,295.36
Ohio,4,Other,334.18,2018,400.08,460,290.25,334.18,400.08,460,290.25
Kentucky,1,Fraud,300,2019,375,394.99,309.99,300,375,394.99,309.99
Idaho,2,Fraud,400,2018,396,370,403.12,400,396,370,403.12
New Mexico,1,Other,478.6,2020,495,487.89,500,478.6,495,487.89,500
Hawaii,1,Fraud,500,2019,375,394.99,500,500,375,394.99,500
North Dakota,2,Fraud,483.995,2018,396,370,485.495,483.995,396,370,485.495
California,1,Other,619.38,2021,535,618.38,565,619.38,535,618.38,565
Virginia,1,Fraud,399.985,2019,375,394.99,349.9,399.985,375,394.99,349.9
Virginia,4,Fraud,350,2018,306.25,370,300,350,306.25,370,300
New Mexico,1,Fraud,500,2019,375,394.99,500,500,375,394.99,500
Washington,1,Other,400,2019,410.21,476.66,300,400,410.21,476.66,300
Idaho,2,Fraud,400,2019,422.08,394.99,500,400,422.08,394.99,500
South Dakota,4,Fraud,411.5,2018,306.25,370,293.995,411.5,306.25,370,293.995
Georgia,3,Other,458,2018,460.27,460,434.75,458,460.27,460,434.75
Puerto Rico,3,Fraud,368,2020,279,304.99,341.72,368,279,304.99,341.72
Pennsylvania,1,Identity Theft,0,2022,0,0,0,0,0,0,0
Massachusetts,1,Other,300,2021,535,618.38,500,300,535,618.38,500
Michigan,3,Other,450,2021,727,618.38,560,450,727,618.38,560
Hawaii,1,Other,700,2021,535,618.38,508,700,535,618.38,508
New Mexico,2,Fraud,500,2021,507,500,600,500,507,500,600
Michigan,4,Other,450,2021,700,618.38,500,450,700,618.38,500
Maine,3,Fraud,400,2021,500,500,500,400,500,500,500
Oklahoma,1,Fraud,259.49,2020,330.64,304.99,250,259.49,330.64,304.99,250
West Virginia,4,Fraud,300,2018,306.25,370,211.5,300,306.25,370,211.5
Iowa,4,Fraud,369.975,2018,306.25,370,225.99,369.975,306.25,370,225.99
Connecticut,4,Fraud,279,2020,328,304.99,284.98,279,328,304.99,284.98
California,3,Other,494.16,2019,500,476.66,481.89,494.16,500,476.66,481.89
Wisconsin,4,Fraud,300,2019,335.88,394.99,247.26,300,335.88,394.99,247.26
Connecticut,3,Fraud,279,2020,279,304.99,236.67,279,279,304.99,236.67
Maine,2,Other,476,2021,700,618.38,573.59,476,700,618.38,573.59
Maine,1,Fraud,400,2021,402.995,500,240,400,402.995,500,240
Ohio,1,Other,517.31,2022,727.875,727.875,517.31,517.31,727.875,727.875,517.31
Texas,4,Fraud,500,2021,550,500,560.1,500,550,500,560.1
Arizona,4,Fraud,399,2018,306.25,370,307,399,306.25,370,307
Illinois,1,Fraud,450,2021,402.995,500,319.99,450,402.995,500,319.99
New Mexico,1,Other,478.6,2020,495,487.89,500,478.6,495,487.89,500
Ohio,4,Fraud,375,2021,550,500,360,375,550,500,360
New York,2,Fraud,370,2019,422.08,394.99,472.74,370,422.08,394.99,472.74
Washington,4,Other,500,2020,500,487.89,500,500,500,487.89,500
Mississippi,4,Identity Theft,0,2018,0,0,0,0,0,0,0
Arizona,3,Other,500,2020,490,487.89,487.63,500,490,487.89,487.63
Oklahoma,1,Fraud,410,2021,402.995,500,400,410,402.995,500,400
Louisiana,2,Fraud,380,2019,422.08,394.99,400,380,422.08,394.99,400
North Dakota,1,Fraud,456,2021,402.995,500,323.25,456,402.995,500,323.25
New Hampshire,4,Other,602.5,2021,700,618.38,474.5,602.5,700,618.38,474.5
Oregon,4,Other,505,2021,700,618.38,594,505,700,618.38,594
Florida,3,Other,800,2021,727,618.38,879.5,800,727,618.38,879.5
Oklahoma,1,Other,487.98,2022,727.875,727.875,487.98,487.98,727.875,727.875,487.98
North Dakota,2,Other,505.04,2018,499,460,697,505.04,499,460,697
Missouri,4,Fraud,300,2019,335.88,394.99,242,300,335.88,394.99,242
Virginia,1,Fraud,500,2021,402.995,500,421.725,500,402.995,500,421.725
Vermont,4,Fraud,330.495,2018,306.25,370,408.99,330.495,306.25,370,408.99
Mississippi,1,Fraud,400,2021,402.995,500,307.99,400,402.995,500,307.99
South Carolina,1,Fraud,283.765,2020,330.64,304.99,350,283.765,330.64,304.99,350
Hawaii,1,Other,502.32,2019,410.21,476.66,511.475,502.32,410.21,476.66,511.475
Oklahoma,1,Fraud,259.49,2020,330.64,304.99,250,259.49,330.64,304.99,250
Nevada,4,Fraud,500,2019,335.88,394.99,450,500,335.88,394.99,450
Oklahoma,1,Other,450,2019,410.21,476.66,441.205,450,410.21,476.66,441.205
Maine,1,Fraud,251,2019,375,394.99,187,251,375,394.99,187
Minnesota,4,Other,381,2018,400.08,460,336,381,400.08,460,336
Delaware,1,Fraud,399,2020,330.64,304.99,373.86,399,330.64,304.99,373.86
Georgia,4,Fraud,334.49,2019,335.88,394.99,297.69,334.49,335.88,394.99,297.69
Georgia,1,Other,700,2022,727.875,727.875,700,700,727.875,727.875,700
North Dakota,3,Fraud,456,2021,500,500,500,456,500,500,500
Montana,1,Fraud,449.22,2021,402.995,500,400,449.22,402.995,500,400
Ohio,1,Fraud,500,2022,600,600,500,500,600,600,500
Mississippi,2,Other,500,2020,431,487.89,553,500,431,487.89,553
Massachusetts,4,Fraud,271.5,2020,328,304.99,270,271.5,328,304.99,270
New York,3,Fraud,300,2020,279,304.99,279.99,300,279,304.99,279.99
Texas,3,Fraud,408,2019,400,394.99,425,408,400,394.99,425
Idaho,1,Other,545,2021,535,618.38,587.07,545,535,618.38,587.07
New Jersey,3,Other,496,2019,500,476.66,500,496,500,476.66,500
District of Columbia,3,Fraud,378.5,2018,380,370,399.495,378.5,380,370,399.495
Louisiana,2,Fraud,380,2019,422.08,394.99,400,380,422.08,394.99,400
Utah,3,Fraud,320.84,2020,279,304.99,250,320.84,279,304.99,250
Nevada,4,Other,500,2019,492,476.66,500,500,492,476.66,500
Florida,1,Fraud,414.96,2019,375,394.99,410.495,414.96,375,394.99,410.495
New Jersey,4,Other,496,2019,492,476.66,500,496,492,476.66,500
Hawaii,4,Other,464.5,2020,500,487.89,530,464.5,500,487.89,530
Idaho,1,Fraud,400,2019,375,394.99,390.995,400,375,394.99,390.995
Kansas,2,Other,400,2020,431,487.89,300,400,431,487.89,300
New York,1,Other,679.5,2022,727.875,727.875,679.5,679.5,727.875,727.875,679.5
South Dakota,4,Fraud,300,2019,335.88,394.99,264.95,300,335.88,394.99,264.95
Mississippi,3,Other,472.9,2019,500,476.66,496.535,472.9,500,476.66,496.535
Minnesota,2,Fraud,380,2019,422.08,394.99,500,380,422.08,394.99,500
Mississippi,1,Fraud,209.985,2020,330.64,304.99,244.59,209.985,330.64,304.99,244.59
Florida,2,Fraud,395,2018,396,370,399.99,395,396,370,399.99
Vermont,4,Fraud,350,2019,335.88,394.99,199.35,350,335.88,394.99,199.35
Arkansas,3,Fraud,286,2020,279,304.99,275,286,279,304.99,275
West Virginia,4,Fraud,350,2021,550,500,400,350,550,500,400
Georgia,3,Other,458,2018,460.27,460,434.75,458,460.27,460,434.75
North Carolina,1,Other,780,2022,727.875,727.875,780,780,727.875,727.875,780
Louisiana,2,Fraud,424.375,2021,507,500,485.21,424.375,507,500,485.21
Oklahoma,1,Fraud,361.975,2019,375,394.99,299,361.975,375,394.99,299
Alabama,4,Fraud,311,2018,306.25,370,280,311,306.25,370,280
Wyoming,1,Fraud,418.965,2022,600,600,418.965,418.965,600,600,418.965
Maine,4,Other,476,2021,700,618.38,600,476,700,618.38,600
Michigan,3,Other,349,2019,500,476.66,350.03,349,500,476.66,350.03
West Virginia,4,Other,500,2021,700,618.38,630,500,700,618.38,630
Delaware,1,Fraud,399,2020,330.64,304.99,373.86,399,330.64,304.99,373.86
Connecticut,4,Other,650,2021,700,618.38,600,650,700,618.38,600
Alaska,3,Other,541.595,2019,500,476.66,855.62,541.595,500,476.66,855.62
Wisconsin,2,Fraud,300,2019,422.08,394.99,352.135,300,422.08,394.99,352.135
Alaska,1,Other,471.71,2020,495,487.89,473,471.71,495,487.89,473
California,1,Fraud,400,2020,330.64,304.99,400,400,330.64,304.99,400
Arizona,2,Other,600,2021,700,618.38,714.88,600,700,618.38,714.88
Florida,1,Other,458.145,2019,410.21,476.66,400,458.145,410.21,476.66,400
Arkansas,1,Other,750,2022,727.875,727.875,750,750,727.875,727.875,750
Florida,2,Fraud,535,2021,507,500,589.92,535,507,500,589.92
Pennsylvania,1,Other,443.64,2019,410.21,476.66,400.5,443.64,410.21,476.66,400.5
New Hampshire,2,Fraud,230.55,2020,325,304.99,218.52,230.55,325,304.99,218.52
District of Columbia,1,Fraud,387.765,2020,330.64,304.99,400,387.765,330.64,304.99,400
Idaho,1,Fraud,400,2019,375,394.99,390.995,400,375,394.99,390.995
New Mexico,4,Fraud,400,2018,306.25,370,350,400,306.25,370,350
Nebraska,1,Fraud,450,2021,402.995,500,314.99,450,402.995,500,314.99
Louisiana,1,Fraud,368.5,2018,404.565,370,400,368.5,404.565,370,400
California,4,Fraud,400,2018,306.25,370,350,400,306.25,370,350
Nevada,4,Fraud,400,2020,328,304.99,406.885,400,328,304.99,406.885
New York,2,Fraud,300,2020,325,304.99,317.29,300,325,304.99,317.29
Maryland,2,Fraud,340,2018,396,370,362.5,340,396,370,362.5
Wisconsin,2,Fraud,244.79,2020,325,304.99,279.99,244.79,325,304.99,279.99
Oregon,2,Fraud,500,2021,507,500,600,500,507,500,600
Illinois,1,Other,650.31,2021,535,618.38,600,650.31,535,618.38,600
Oklahoma,1,Fraud,259.49,2020,330.64,304.99,250,259.49,330.64,304.99,250
West Virginia,3,Other,235.23,2020,490,487.89,212.5,235.23,490,487.89,212.5
Michigan,4,Other,349,2019,492,476.66,320,349,492,476.66,320
Idaho,4,Other,433,2020,500,487.89,464.5,433,500,487.89,464.5
Arkansas,4,Other,350,2019,492,476.66,396,350,492,476.66,396
Louisiana,4,Fraud,300,2020,328,304.99,360.45,300,328,304.99,360.45
Montana,2,Other,561.5,2019,499,476.66,697.5,561.5,499,476.66,697.5
Illinois,3,Fraud,300,2018,380,370,299,300,380,370,299
Texas,2,Fraud,329.915,2020,325,304.99,350.96,329.915,325,304.99,350.96
Maine,1,Fraud,216.935,2020,330.64,304.99,254.15,216.935,330.64,304.99,254.15
South Dakota,4,Other,400,2020,500,487.89,550,400,500,487.89,550
Arizona,3,Other,500,2020,490,487.89,487.63,500,490,487.89,487.63
Missouri,4,Fraud,300,2019,335.88,394.99,242,300,335.88,394.99,242
Mississippi,3,Fraud,315.25,2019,400,394.99,332.49,315.25,400,394.99,332.49
Ohio,3,Fraud,299,2019,400,394.99,300,299,400,394.99,300
Vermont,4,Other,394.98,2018,400.08,460,389.96,394.98,400.08,460,389.96
Georgia,3,Other,458,2018,460.27,460,434.75,458,460.27,460,434.75
Alabama,2,Fraud,311,2018,396,370,300,311,396,370,300
West Virginia,4,Fraud,350,2021,550,500,400,350,550,500,400
Maine,4,Fraud,335.505,2018,306.25,370,299.99,335.505,306.25,370,299.99
Rhode Island,3,Other,420,2018,460.27,460,358.91,420,460.27,460,358.91
Pennsylvania,1,Fraud,300,2019,375,394.99,318,300,375,394.99,318
Wisconsin,2,Fraud,300,2019,422.08,394.99,352.135,300,422.08,394.99,352.135
Wisconsin,4,Fraud,395.28,2021,550,500,418.875,395.28,550,500,418.875
Georgia,2,Fraud,317.5,2018,396,370,344,317.5,396,370,344
New Hampshire,3,Fraud,230.55,2020,279,304.99,195,230.55,279,304.99,195
California,2,Other,500,2020,431,487.89,459.88,500,431,487.89,459.88
Wisconsin,4,Other,344.01,2020,500,487.89,337.93,344.01,500,487.89,337.93
Arkansas,2,Fraud,286,2020,325,304.99,300,286,325,304.99,300
Michigan,2,Other,400,2020,431,487.89,472,400,431,487.89,472
Arizona,3,Other,500,2020,490,487.89,487.63,500,490,487.89,487.63
Arizona,1,Fraud,353.42,2020,330.64,304.99,375,353.42,330.64,304.99,375
Minnesota,4,Fraud,300,2020,328,304.99,300,300,328,304.99,300
Texas,2,Fraud,408,2019,422.08,394.99,454.03,408,422.08,394.99,454.03
Wisconsin,3,Other,499,2021,727,618.38,513.73,499,727,618.38,513.73
Montana,2,Fraud,300,2019,422.08,394.99,267,300,422.08,394.99,267
Nevada,4,Other,680,2021,700,618.38,582.295,680,700,618.38,582.295
Alaska,2,Fraud,491,2018,396,370,500,491,396,370,500
Utah,3,Fraud,320.84,2020,279,304.99,250,320.84,279,304.99,250
Vermont,4,Fraud,330.495,2018,306.25,370,408.99,330.495,306.25,370,408.99
Oklahoma,2,Other,450,2019,499,476.66,478,450,499,476.66,478
District of Columbia,2,Fraud,387.765,2020,325,304.99,500,387.765,325,304.99,500
Wyoming,1,Other,391,2022,727.875,727.875,391,391,727.875,727.875,391
Kentucky,1,Other,321.5,2020,495,487.89,316.44,321.5,495,487.89,316.44
Ohio,2,Fraud,299,2019,422.08,394.99,328,299,422.08,394.99,328
Indiana,2,Fraud,235,2020,325,304.99,262.14,235,325,304.99,262.14
Idaho,2,Other,433,2020,431,487.89,500,433,431,487.89,500
Rhode Island,2,Fraud,224.5,2020,325,304.99,196.515,224.5,325,304.99,196.515
Delaware,1,Other,472.2,2019,410.21,476.66,467.02,472.2,410.21,476.66,467.02
North Carolina,3,Other,330,2018,460.27,460,335,330,460.27,460,335
New Hampshire,4,Fraud,262.5,2019,335.88,394.99,252.5,262.5,335.88,394.99,252.5
Idaho,4,Fraud,399.99,2021,550,500,500,399.99,550,500,500
New Jersey,4,Fraud,354.18,2018,306.25,370,309,354.18,306.25,370,309
Wyoming,1,Fraud,500,2021,402.995,500,450,500,402.995,500,450
Mississippi,2,Other,472.9,2019,499,476.66,380,472.9,499,476.66,380
Massachusetts,2,Other,450,2018,499,460,500,450,499,460,500
Maryland,4,Fraud,340,2018,306.25,370,309.99,340,306.25,370,309.99
Indiana,2,Other,423.72,2020,431,487.89,314.83,423.72,431,487.89,314.83
California,3,Other,465.94,2018,460.27,460,471.55,465.94,460.27,460,471.55
Wisconsin,3,Fraud,244.79,2020,279,304.99,219.99,244.79,279,304.99,219.99
Rhode Island,2,Identity Theft,0,2018,0,0,0,0,0,0,0
District of Columbia,3,Other,500,2019,500,476.66,500,500,500,476.66,500
Maine,1,Fraud,251,2019,375,394.99,187,251,375,394.99,187
Massachusetts,2,Fraud,500,2021,507,500,599,500,507,500,599
Florida,3,Other,466.81,2018,460.27,460,400,466.81,460.27,460,400
Delaware,2,Fraud,500,2021,507,500,600,500,507,500,600
Maine,3,Other,400,2018,460.27,460,253.475,400,460.27,460,253.475
Maryland,2,Other,524,2019,499,476.66,553.94,524,499,476.66,553.94
Kentucky,1,Other,321.5,2020,495,487.89,316.44,321.5,495,487.89,316.44
Hawaii,4,Other,477.15,2018,400.08,460,476.62,477.15,400.08,460,476.62
Kentucky,2,Fraud,207,2020,325,304.99,214.44,207,325,304.99,214.44
New York,3,Fraud,320.51,2018,380,370,325,320.51,380,370,325
North Carolina,1,Other,300,2019,410.21,476.66,300,300,410.21,476.66,300
Texas,2,Fraud,380,2018,396,370,400,380,396,370,400
Arkansas,3,Other,350,2019,500,476.66,368.94,350,500,476.66,368.94
Vermont,3,Other,400,2020,490,487.89,449.95,400,490,487.89,449.95
South Dakota,1,Other,399.99,2019,410.21,476.66,357.08,399.99,410.21,476.66,357.08
District of Columbia,3,Fraud,370.5,2019,400,394.99,358.99,370.5,400,394.99,358.99
California,1,Fraud,610,2021,402.995,500,500,610,402.995,500,500
North Dakota,2,Other,500,2021,700,618.38,1861.41,500,700,618.38,1861.41
Missouri,1,Other,390.9,2019,410.21,476.66,412.34,390.9,410.21,476.66,412.34
Rhode Island,1,Other,456,2022,727.875,727.875,456,456,727.875,727.875,456
Oregon,1,Fraud,347.915,2019,375,394.99,309.095,347.915,375,394.99,309.095
Illinois,4,Other,650.31,2021,700,618.38,756.64,650.31,700,618.38,756.64
Alabama,2,Fraud,260,2020,325,304.99,250.045,260,325,304.99,250.045
Montana,2,Other,425,2018,499,460,396,425,499,460,396
Pennsylvania,1,Fraud,500,2022,600,600,500,500,600,600,500
Nebraska,4,Other,300,2020,500,487.89,304.99,300,500,487.89,304.99
Pennsylvania,1,Identity Theft,0,2020,0,0,0,0,0,0,0
Alaska,1,Other,600,2018,500,460,1000,600,500,460,1000
